"category_id","probability","label","text_md5"
3709030,0.921,"neutral","807f631d88c8fd1c009daff7e6d406de"
3709030,0.794,"neutral","dbac17ad93d9683bef2b92cce4a9230a"
3709030,0.609,"neutral","c98ef180ef83b490db9b091d09f37d8e"
3709030,0.448,"neutral","72bae56763dc6bc92b2476e0243fedb3"
3709030,0.522,"neutral","8d6f1fb7f25c3c25298e5cb0ab73fd9e"
3709028,0.549,"positive","58e8ff83021b9c59b1e64e45290366bf"
3709028,0.481,"positive","63eb031b737b64a8e9a8e0df2cfc0b91"
3709030,0.423,"neutral","5e90ae20b737813548cb041642063b42"
3709028,0.57,"positive","306953784490dd45c300d499640ae4ef"
3709030,0.342,"neutral","8c53bd75a59c3713a86d8009af792e6b"
3709030,0.588,"neutral","3329df09c4a8a466499954499192501b"
3709030,0.797,"neutral","a6df6d2389032e5a10326b660dac45f8"
3709030,0.445,"neutral","4685139cf08c6b81dfa21c429863ccce"
3709030,0.787,"neutral","f178ba1babae31aa6b1451600ed39def"
3709029,0.407,"negative","053e0ae438303f356659cd4db7871dca"
3709030,0.481,"neutral","c1c440beecb5bc2a2ac1fd41a4b77964"
3709030,0.653,"neutral","76323315f929c2677c9c620342c2baef"
3709030,0.656,"neutral","7be323cc4ca2b4105cd4e8f8ec554c65"
3709030,0.445,"neutral","7eb232cb41f20953148ead62db944936"
3709030,0.738,"neutral","14defd157d3b2c9334d098100bd8d05e"
3709030,0.706,"neutral","5c50d0d5cc6033d946fe5b9145f8a67d"
3709030,0.621,"neutral","ac653dd0fbde6565ad9953bd8e3ffb01"
3709030,0.579,"neutral","84f4a0530fb0b35449799c1f5111baf8"
3709030,0.61,"neutral","98737dae0526be656405e5ebf4420048"
3709030,0.697,"neutral","48b415523391201adf70b5d39b86ab75"
3709030,0.665,"neutral","fe0915e4e4a08c73f3a61e129280eac3"
3709029,0.681,"negative","98382d9ce7767e69f2849ecf91149545"
3709030,0.552,"neutral","16275acad7d17a6988ab568f8bc79378"
3709030,0.475,"neutral","a3e12bcb0bdf61dfdd8a330b09411b3b"
3709030,0.361,"neutral","6fa8cdb2a648e72384af14343f67ce4e"
3709030,0.794,"neutral","4f6ad448d993d26d8c7219991b62b1b6"
3709028,0.644,"positive","197a8f609982966e1b969edaa0e41a94"
3709030,0.617,"neutral","be664e67981e5eb98d09da7cd599a8f8"
3709030,0.698,"neutral","6f7aa8be6482ee4bd992e354fcbbfbe8"
3709030,0.509,"neutral","726e8a8f1726b2a7c8f97796c949f70d"
3709030,0.462,"neutral","f1ffdca9431204afee3424afc7adcf33"
3709030,0.626,"neutral","2281622f038ca0339882bf82fc335184"
3709030,0.503,"neutral","d8daba09cba3f813864b521d8d1854f3"
3709029,0.412,"negative","65dfabdb455b481c1a0884eef2a3e0fb"
3709030,0.7,"neutral","db67280fb0ad6f05515722fc6090b487"
3709030,0.624,"neutral","fa87b1c9a1fc2b6805e6530b4005c80d"
3709030,0.754,"neutral","d167a4673b2298a0ac108c0c086e167e"
3709030,0.795,"neutral","2b270870abf5d951d1830b773191a8bd"
3709030,0.593,"neutral","eb0ad609d6077d1bc0b29ba3bf1a9e2a"
3709030,0.558,"neutral","796c327cccd429a199d406c78cff6951"
3709030,0.609,"neutral","d8f9919152b64df8bd7eea95c32fa49f"
3709030,0.689,"neutral","1d499e4797084918ce2966bc8b4f2bc6"
3709030,0.706,"neutral","0b9bf238bf2ec3ac726404a679061354"
3709030,0.626,"neutral","1ccbb8c2c98a0e4c22bb081b64488338"
3709030,0.835,"neutral","8497685fd90bcdaf8c2f695e0e285be8"
3709030,0.796,"neutral","dbe2c55a452bb0c0534a44a12f525777"
3709030,0.733,"neutral","2a14fc9160b789336ed330cbd24ffb21"
3709030,0.921,"neutral","807f631d88c8fd1c009daff7e6d406de"
3709030,0.794,"neutral","dbac17ad93d9683bef2b92cce4a9230a"
3709030,0.609,"neutral","c98ef180ef83b490db9b091d09f37d8e"
3709030,0.448,"neutral","72bae56763dc6bc92b2476e0243fedb3"
3709030,0.522,"neutral","8d6f1fb7f25c3c25298e5cb0ab73fd9e"
3709028,0.549,"positive","58e8ff83021b9c59b1e64e45290366bf"
3709028,0.481,"positive","63eb031b737b64a8e9a8e0df2cfc0b91"
3709030,0.423,"neutral","5e90ae20b737813548cb041642063b42"
3709028,0.57,"positive","306953784490dd45c300d499640ae4ef"
3709030,0.342,"neutral","8c53bd75a59c3713a86d8009af792e6b"
3709030,0.588,"neutral","3329df09c4a8a466499954499192501b"
3709030,0.797,"neutral","a6df6d2389032e5a10326b660dac45f8"
3709030,0.445,"neutral","4685139cf08c6b81dfa21c429863ccce"
3709030,0.787,"neutral","f178ba1babae31aa6b1451600ed39def"
3709029,0.407,"negative","053e0ae438303f356659cd4db7871dca"
3709030,0.481,"neutral","c1c440beecb5bc2a2ac1fd41a4b77964"
3709030,0.653,"neutral","76323315f929c2677c9c620342c2baef"
3709030,0.656,"neutral","7be323cc4ca2b4105cd4e8f8ec554c65"
3709030,0.445,"neutral","7eb232cb41f20953148ead62db944936"
3709030,0.738,"neutral","14defd157d3b2c9334d098100bd8d05e"
3709030,0.706,"neutral","5c50d0d5cc6033d946fe5b9145f8a67d"
3709030,0.621,"neutral","ac653dd0fbde6565ad9953bd8e3ffb01"
3709030,0.579,"neutral","84f4a0530fb0b35449799c1f5111baf8"
3709030,0.61,"neutral","98737dae0526be656405e5ebf4420048"
3709030,0.697,"neutral","48b415523391201adf70b5d39b86ab75"
3709030,0.665,"neutral","fe0915e4e4a08c73f3a61e129280eac3"
3709029,0.681,"negative","98382d9ce7767e69f2849ecf91149545"
3709030,0.552,"neutral","16275acad7d17a6988ab568f8bc79378"
3709030,0.475,"neutral","a3e12bcb0bdf61dfdd8a330b09411b3b"
3709030,0.361,"neutral","6fa8cdb2a648e72384af14343f67ce4e"
3709030,0.794,"neutral","4f6ad448d993d26d8c7219991b62b1b6"
3709028,0.644,"positive","197a8f609982966e1b969edaa0e41a94"
3709030,0.617,"neutral","be664e67981e5eb98d09da7cd599a8f8"
3709030,0.698,"neutral","6f7aa8be6482ee4bd992e354fcbbfbe8"
3709030,0.509,"neutral","726e8a8f1726b2a7c8f97796c949f70d"
3709030,0.462,"neutral","f1ffdca9431204afee3424afc7adcf33"
3709030,0.626,"neutral","2281622f038ca0339882bf82fc335184"
3709030,0.503,"neutral","d8daba09cba3f813864b521d8d1854f3"
3709029,0.412,"negative","65dfabdb455b481c1a0884eef2a3e0fb"
3709030,0.7,"neutral","db67280fb0ad6f05515722fc6090b487"
3709030,0.624,"neutral","fa87b1c9a1fc2b6805e6530b4005c80d"
3709030,0.754,"neutral","d167a4673b2298a0ac108c0c086e167e"
3709030,0.795,"neutral","2b270870abf5d951d1830b773191a8bd"
3709030,0.593,"neutral","eb0ad609d6077d1bc0b29ba3bf1a9e2a"
3709030,0.558,"neutral","796c327cccd429a199d406c78cff6951"
3709030,0.609,"neutral","d8f9919152b64df8bd7eea95c32fa49f"
3709030,0.689,"neutral","1d499e4797084918ce2966bc8b4f2bc6"
3709030,0.706,"neutral","0b9bf238bf2ec3ac726404a679061354"
3709030,0.626,"neutral","1ccbb8c2c98a0e4c22bb081b64488338"
3709030,0.835,"neutral","8497685fd90bcdaf8c2f695e0e285be8"
3709030,0.796,"neutral","dbe2c55a452bb0c0534a44a12f525777"
3709030,0.733,"neutral","2a14fc9160b789336ed330cbd24ffb21"
3709030,0.921,"neutral","807f631d88c8fd1c009daff7e6d406de"
3709030,0.794,"neutral","dbac17ad93d9683bef2b92cce4a9230a"
3709030,0.609,"neutral","c98ef180ef83b490db9b091d09f37d8e"
3709030,0.448,"neutral","72bae56763dc6bc92b2476e0243fedb3"
3709030,0.522,"neutral","8d6f1fb7f25c3c25298e5cb0ab73fd9e"
3709028,0.549,"positive","58e8ff83021b9c59b1e64e45290366bf"
3709028,0.481,"positive","63eb031b737b64a8e9a8e0df2cfc0b91"
3709030,0.423,"neutral","5e90ae20b737813548cb041642063b42"
3709028,0.57,"positive","306953784490dd45c300d499640ae4ef"
3709030,0.342,"neutral","8c53bd75a59c3713a86d8009af792e6b"
3709030,0.588,"neutral","3329df09c4a8a466499954499192501b"
3709030,0.797,"neutral","a6df6d2389032e5a10326b660dac45f8"
3709030,0.445,"neutral","4685139cf08c6b81dfa21c429863ccce"
3709030,0.787,"neutral","f178ba1babae31aa6b1451600ed39def"
3709029,0.407,"negative","053e0ae438303f356659cd4db7871dca"
3709030,0.481,"neutral","c1c440beecb5bc2a2ac1fd41a4b77964"
3709030,0.653,"neutral","76323315f929c2677c9c620342c2baef"
3709030,0.656,"neutral","7be323cc4ca2b4105cd4e8f8ec554c65"
3709030,0.445,"neutral","7eb232cb41f20953148ead62db944936"
3709030,0.738,"neutral","14defd157d3b2c9334d098100bd8d05e"
3709030,0.706,"neutral","5c50d0d5cc6033d946fe5b9145f8a67d"
3709030,0.621,"neutral","ac653dd0fbde6565ad9953bd8e3ffb01"
3709030,0.579,"neutral","84f4a0530fb0b35449799c1f5111baf8"
3709030,0.61,"neutral","98737dae0526be656405e5ebf4420048"
3709030,0.697,"neutral","48b415523391201adf70b5d39b86ab75"
3709030,0.665,"neutral","fe0915e4e4a08c73f3a61e129280eac3"
3709029,0.681,"negative","98382d9ce7767e69f2849ecf91149545"
3709030,0.552,"neutral","16275acad7d17a6988ab568f8bc79378"
3709030,0.475,"neutral","a3e12bcb0bdf61dfdd8a330b09411b3b"
3709030,0.361,"neutral","6fa8cdb2a648e72384af14343f67ce4e"
3709030,0.794,"neutral","4f6ad448d993d26d8c7219991b62b1b6"
3709028,0.644,"positive","197a8f609982966e1b969edaa0e41a94"
3709030,0.617,"neutral","be664e67981e5eb98d09da7cd599a8f8"
3709030,0.698,"neutral","6f7aa8be6482ee4bd992e354fcbbfbe8"
3709030,0.509,"neutral","726e8a8f1726b2a7c8f97796c949f70d"
3709030,0.462,"neutral","f1ffdca9431204afee3424afc7adcf33"
3709030,0.626,"neutral","2281622f038ca0339882bf82fc335184"
3709030,0.503,"neutral","d8daba09cba3f813864b521d8d1854f3"
3709029,0.412,"negative","65dfabdb455b481c1a0884eef2a3e0fb"
3709030,0.7,"neutral","db67280fb0ad6f05515722fc6090b487"
3709030,0.624,"neutral","fa87b1c9a1fc2b6805e6530b4005c80d"
3709030,0.754,"neutral","d167a4673b2298a0ac108c0c086e167e"
3709030,0.795,"neutral","2b270870abf5d951d1830b773191a8bd"
3709030,0.593,"neutral","eb0ad609d6077d1bc0b29ba3bf1a9e2a"
3709030,0.558,"neutral","796c327cccd429a199d406c78cff6951"
3709030,0.609,"neutral","d8f9919152b64df8bd7eea95c32fa49f"
3709030,0.689,"neutral","1d499e4797084918ce2966bc8b4f2bc6"
3709030,0.706,"neutral","0b9bf238bf2ec3ac726404a679061354"
3709030,0.626,"neutral","1ccbb8c2c98a0e4c22bb081b64488338"
3709030,0.835,"neutral","8497685fd90bcdaf8c2f695e0e285be8"
3709030,0.796,"neutral","dbe2c55a452bb0c0534a44a12f525777"
3709030,0.733,"neutral","2a14fc9160b789336ed330cbd24ffb21"
3709030,0.921,"neutral","807f631d88c8fd1c009daff7e6d406de"
3709030,0.794,"neutral","dbac17ad93d9683bef2b92cce4a9230a"
3709030,0.609,"neutral","c98ef180ef83b490db9b091d09f37d8e"
3709030,0.448,"neutral","72bae56763dc6bc92b2476e0243fedb3"
3709030,0.522,"neutral","8d6f1fb7f25c3c25298e5cb0ab73fd9e"
3709028,0.549,"positive","58e8ff83021b9c59b1e64e45290366bf"
3709028,0.481,"positive","63eb031b737b64a8e9a8e0df2cfc0b91"
3709030,0.423,"neutral","5e90ae20b737813548cb041642063b42"
3709028,0.57,"positive","306953784490dd45c300d499640ae4ef"
3709030,0.342,"neutral","8c53bd75a59c3713a86d8009af792e6b"
3709030,0.588,"neutral","3329df09c4a8a466499954499192501b"
3709030,0.797,"neutral","a6df6d2389032e5a10326b660dac45f8"
3709030,0.445,"neutral","4685139cf08c6b81dfa21c429863ccce"
3709030,0.787,"neutral","f178ba1babae31aa6b1451600ed39def"
3709029,0.407,"negative","053e0ae438303f356659cd4db7871dca"
3709030,0.481,"neutral","c1c440beecb5bc2a2ac1fd41a4b77964"
3709030,0.653,"neutral","76323315f929c2677c9c620342c2baef"
3709030,0.656,"neutral","7be323cc4ca2b4105cd4e8f8ec554c65"
3709030,0.445,"neutral","7eb232cb41f20953148ead62db944936"
3709030,0.738,"neutral","14defd157d3b2c9334d098100bd8d05e"
3709030,0.706,"neutral","5c50d0d5cc6033d946fe5b9145f8a67d"
3709030,0.621,"neutral","ac653dd0fbde6565ad9953bd8e3ffb01"
3709030,0.579,"neutral","84f4a0530fb0b35449799c1f5111baf8"
3709030,0.61,"neutral","98737dae0526be656405e5ebf4420048"
3709030,0.697,"neutral","48b415523391201adf70b5d39b86ab75"
3709030,0.665,"neutral","fe0915e4e4a08c73f3a61e129280eac3"
