"","user","date_time","date","hour","day","price"
"1","bitcoinprice",2017-05-29 18:00:04,2017-05-29,18,"Mon",2252.36
"2","bitcoinprice",2017-05-29 17:00:04,2017-05-29,17,"Mon",2260.63
"3","bitcoinprice",2017-05-29 16:00:11,2017-05-29,16,"Mon",2256.43
"4","bitcoinprice",2017-05-29 15:00:04,2017-05-29,15,"Mon",2246.81
"5","bitcoinprice",2017-05-29 14:00:03,2017-05-29,14,"Mon",2221.03
"6","bitcoinprice",2017-05-29 13:00:03,2017-05-29,13,"Mon",2244.18
"7","bitcoinprice",2017-05-29 12:00:02,2017-05-29,12,"Mon",2238.4
"8","bitcoinprice",2017-05-29 11:00:02,2017-05-29,11,"Mon",2269.32
"9","bitcoinprice",2017-05-29 10:00:03,2017-05-29,10,"Mon",2236.38
"10","bitcoinprice",2017-05-29 09:00:02,2017-05-29,9,"Mon",2214.83
"11","bitcoinprice",2017-05-29 08:00:03,2017-05-29,8,"Mon",2195.25
"12","bitcoinprice",2017-05-29 07:00:03,2017-05-29,7,"Mon",2184.41
"13","bitcoinprice",2017-05-29 06:00:03,2017-05-29,6,"Mon",2169.28
"14","bitcoinprice",2017-05-29 05:00:03,2017-05-29,5,"Mon",2152.36
"15","bitcoinprice",2017-05-29 04:00:03,2017-05-29,4,"Mon",2171.35
"16","bitcoinprice",2017-05-29 03:00:03,2017-05-29,3,"Mon",2134.03
"17","bitcoinprice",2017-05-29 02:00:03,2017-05-29,2,"Mon",2167.24
"18","bitcoinprice",2017-05-29 01:00:03,2017-05-29,1,"Mon",2185.96
"19","bitcoinprice",2017-05-29 00:00:03,2017-05-29,0,"Mon",2169.93
"20","bitcoinprice",2017-05-28 23:00:04,2017-05-28,23,"Sun",2167.35
"21","bitcoinprice",2017-05-28 22:00:03,2017-05-28,22,"Sun",2152.97
"22","bitcoinprice",2017-05-28 21:00:03,2017-05-28,21,"Sun",2105.69
"23","bitcoinprice",2017-05-28 20:00:03,2017-05-28,20,"Sun",2144.86
"24","bitcoinprice",2017-05-28 19:00:02,2017-05-28,19,"Sun",2160.51
"25","bitcoinprice",2017-05-28 18:00:04,2017-05-28,18,"Sun",2132.11
"26","bitcoinprice",2017-05-28 17:00:03,2017-05-28,17,"Sun",2147.69
"27","bitcoinprice",2017-05-28 16:00:04,2017-05-28,16,"Sun",2136.72
"28","bitcoinprice",2017-05-28 15:00:03,2017-05-28,15,"Sun",2155.12
"29","bitcoinprice",2017-05-28 14:00:03,2017-05-28,14,"Sun",2212.57
"30","bitcoinprice",2017-05-28 13:00:03,2017-05-28,13,"Sun",2233.85
"31","bitcoinprice",2017-05-28 12:00:03,2017-05-28,12,"Sun",2229.56
"32","bitcoinprice",2017-05-28 11:00:03,2017-05-28,11,"Sun",2244.89
"33","bitcoinprice",2017-05-28 10:00:04,2017-05-28,10,"Sun",2294.54
"34","bitcoinprice",2017-05-28 09:00:04,2017-05-28,9,"Sun",2246.76
"35","bitcoinprice",2017-05-28 08:00:03,2017-05-28,8,"Sun",2265.62
"36","bitcoinprice",2017-05-28 07:00:04,2017-05-28,7,"Sun",2176.53
"37","bitcoinprice",2017-05-28 06:00:04,2017-05-28,6,"Sun",2151.7
"38","bitcoinprice",2017-05-28 05:00:04,2017-05-28,5,"Sun",2192.53
"39","bitcoinprice",2017-05-28 04:00:04,2017-05-28,4,"Sun",2180.4
"40","bitcoinprice",2017-05-28 03:00:03,2017-05-28,3,"Sun",2145.91
"41","bitcoinprice",2017-05-28 02:00:03,2017-05-28,2,"Sun",2108.99
"42","bitcoinprice",2017-05-28 01:00:03,2017-05-28,1,"Sun",2094.29
"43","bitcoinprice",2017-05-28 00:00:04,2017-05-28,0,"Sun",2057.1
"44","bitcoinprice",2017-05-27 23:00:03,2017-05-27,23,"Sat",2047.2
"45","bitcoinprice",2017-05-27 22:00:04,2017-05-27,22,"Sat",2018.13
"46","bitcoinprice",2017-05-27 21:00:04,2017-05-27,21,"Sat",2034.98
"47","bitcoinprice",2017-05-27 20:00:03,2017-05-27,20,"Sat",2110.87
"48","bitcoinprice",2017-05-27 19:00:03,2017-05-27,19,"Sat",2086.17
"49","bitcoinprice",2017-05-27 18:00:03,2017-05-27,18,"Sat",2101.84
"50","bitcoinprice",2017-05-27 17:00:03,2017-05-27,17,"Sat",2108.54
"51","bitcoinprice",2017-05-27 16:00:03,2017-05-27,16,"Sat",2075.52
"52","bitcoinprice",2017-05-27 15:00:03,2017-05-27,15,"Sat",2030.33
"53","bitcoinprice",2017-05-27 14:00:05,2017-05-27,14,"Sat",2033.68
"54","bitcoinprice",2017-05-27 13:00:03,2017-05-27,13,"Sat",2048.19
"55","bitcoinprice",2017-05-27 12:00:03,2017-05-27,12,"Sat",2020.27
"56","bitcoinprice",2017-05-27 11:00:03,2017-05-27,11,"Sat",1941.68
"57","bitcoinprice",2017-05-27 10:00:03,2017-05-27,10,"Sat",1936.06
"58","bitcoinprice",2017-05-27 09:00:04,2017-05-27,9,"Sat",2025.21
"59","bitcoinprice",2017-05-27 08:00:04,2017-05-27,8,"Sat",2111.08
"60","bitcoinprice",2017-05-27 07:00:05,2017-05-27,7,"Sat",2089.03
"61","bitcoinprice",2017-05-27 06:00:04,2017-05-27,6,"Sat",2104.54
"62","bitcoinprice",2017-05-27 05:00:05,2017-05-27,5,"Sat",2161.77
"63","bitcoinprice",2017-05-27 04:00:03,2017-05-27,4,"Sat",2218.25
"64","bitcoinprice",2017-05-27 03:00:03,2017-05-27,3,"Sat",2195.82
"65","bitcoinprice",2017-05-27 02:00:05,2017-05-27,2,"Sat",2279.26
"66","bitcoinprice",2017-05-27 01:00:04,2017-05-27,1,"Sat",2261.21
"67","bitcoinprice",2017-05-27 00:00:05,2017-05-27,0,"Sat",2237.59
"68","bitcoinprice",2017-05-26 23:00:05,2017-05-26,23,"Fri",2245.86
"69","bitcoinprice",2017-05-26 22:00:05,2017-05-26,22,"Fri",2259.75
"70","bitcoinprice",2017-05-26 21:00:04,2017-05-26,21,"Fri",2265.93
"71","bitcoinprice",2017-05-26 20:00:04,2017-05-26,20,"Fri",2276.34
"72","bitcoinprice",2017-05-26 19:00:04,2017-05-26,19,"Fri",2217.39
"73","bitcoinprice",2017-05-26 18:00:04,2017-05-26,18,"Fri",2286.52
"74","bitcoinprice",2017-05-26 17:00:04,2017-05-26,17,"Fri",2406.05
"75","bitcoinprice",2017-05-26 16:00:03,2017-05-26,16,"Fri",2412.53
"76","bitcoinprice",2017-05-26 15:00:04,2017-05-26,15,"Fri",2414.72
"77","bitcoinprice",2017-05-26 14:00:03,2017-05-26,14,"Fri",2420
"78","bitcoinprice",2017-05-26 13:00:03,2017-05-26,13,"Fri",2489.89
"79","bitcoinprice",2017-05-26 12:00:04,2017-05-26,12,"Fri",2554.89
"80","bitcoinprice",2017-05-26 11:00:04,2017-05-26,11,"Fri",2541.87
"81","bitcoinprice",2017-05-26 10:00:03,2017-05-26,10,"Fri",2545.38
"82","bitcoinprice",2017-05-26 09:00:04,2017-05-26,9,"Fri",2589.95
"83","bitcoinprice",2017-05-26 08:00:04,2017-05-26,8,"Fri",2493.05
"84","bitcoinprice",2017-05-26 07:00:03,2017-05-26,7,"Fri",2485.16
"85","bitcoinprice",2017-05-26 06:00:03,2017-05-26,6,"Fri",2494.53
"86","bitcoinprice",2017-05-26 05:00:04,2017-05-26,5,"Fri",2398.02
"87","bitcoinprice",2017-05-26 04:00:04,2017-05-26,4,"Fri",2389.37
"88","bitcoinprice",2017-05-26 03:00:03,2017-05-26,3,"Fri",2381.72
"89","bitcoinprice",2017-05-26 02:00:03,2017-05-26,2,"Fri",2319.07
"90","bitcoinprice",2017-05-26 01:00:04,2017-05-26,1,"Fri",2367.49
"91","bitcoinprice",2017-05-26 00:00:05,2017-05-26,0,"Fri",2283.1
"92","bitcoinprice",2017-05-25 23:00:03,2017-05-25,23,"Thu",2427.35
